File version,2
Missing data value,-9999
EOM
Project name,Chowilla and Pike_4.7_NoWeirs
Source version,5.4.0.11476
Latest result run time,2021-03-01 13:24:45
Simulation time,2013-01-02 - 2017-07-01
Field,Units,RunName,ScenarioName,ScenarioInputSetName,Name,Site,ElementName,WaterFeatureType,ElementType,Structure,Custom
EOC
229
63,m^3,,Lumped,,Minimum Flow Requirement: Pike Minimum Flow: Storage Volume,Pike Minimum Flow,Storage Volume,Minimum Flow Requirement,Node,Storage Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
64,m^3.s^-1,,Lumped,,Minimum Flow Requirement: Pike Minimum Flow: Upstream Flow,Pike Minimum Flow,Upstream Flow,Minimum Flow Requirement,Node,Upstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
65,m^3,,Lumped,,Minimum Flow Requirement: Pike Minimum Flow: Upstream Flow Volume,Pike Minimum Flow,Upstream Flow Volume,Minimum Flow Requirement,Node,Upstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
66,m^3.s^-1,,Lumped,,Minimum Flow Requirement: Tanyaca: Downstream Flow,Tanyaca,Downstream Flow,Minimum Flow Requirement,Node,Downstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
67,m^3,,Lumped,,Minimum Flow Requirement: Tanyaca: Downstream Flow Volume,Tanyaca,Downstream Flow Volume,Minimum Flow Requirement,Node,Downstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
68,m^3,,Lumped,,Minimum Flow Requirement: Tanyaca: Storage Volume,Tanyaca,Storage Volume,Minimum Flow Requirement,Node,Storage Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
69,m^3.s^-1,,Lumped,,Minimum Flow Requirement: Tanyaca: Upstream Flow,Tanyaca,Upstream Flow,Minimum Flow Requirement,Node,Upstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
70,m^3,,Lumped,,Minimum Flow Requirement: Tanyaca: Upstream Flow Volume,Tanyaca,Upstream Flow Volume,Minimum Flow Requirement,Node,Upstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
71,kg.m^-3,,Lumped,,Storage Routing: Lower Pike: Downstream Flow Concentration,Lower Pike,Constituents,Storage Routing,Link,Constituents@DO@Downstream Flow Concentration,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
72,mg,,Lumped,,Storage: Chowilla Regulator 254: DOCEnteringWater,Chowilla Regulator 254,Constituents,Storage,Node,Constituents@DOC@Processing Model@DOCEnteringWater,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
73,kg.m^-3,,Lumped,,Storage: Chowilla Regulator 254: Downstream Flow Concentration,Chowilla Regulator 254,Constituents,Storage,Node,Constituents@DOC@Downstream Flow Concentration,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
